hz	time	lib	heapUsed	heapTotal	rss
225225	1348673395629	mysql2	199794688	3091728	8228352
216920	1348673396090	mysql2	201789440	5045896	9260288
218818	1348673396547	mysql2	201875456	4616144	9260288
218818	1348673397004	mysql2	202096640	4165944	9260288
218341	1348673397462	mysql2	202108928	3744432	9260288
218341	1348673397921	mysql2	202194944	3310280	9260288
214592	1348673398387	mysql2	202276864	4935560	9260288
220751	1348673398840	mysql2	207761408	6254424	13454592
225734	1348673399283	mysql2	207761408	5824480	13454592
224215	1348673399729	mysql2	207826944	5377208	13454592
225225	1348673400173	mysql2	207892480	4911704	13454592
218818	1348673400630	mysql2	207892480	4446720	13454592
219298	1348673401087	mysql2	207962112	3996920	13454592
218818	1348673401545	mysql2	208162816	3531016	13454592
217865	1348673402004	mysql2	208162816	3062984	13454592
217865	1348673402463	mysql2	208162816	6708800	13454592
218818	1348673402920	mysql2	208232448	6242360	13454592
218818	1348673403377	mysql2	208232448	5775904	13454592
217865	1348673403837	mysql2	208433152	5316808	13454592
218341	1348673404295	mysql2	208433152	4843696	13454592
218818	1348673404752	mysql2	208502784	4366888	13454592
218818	1348673405209	mysql2	208502784	3902912	13454592
218818	1348673405666	mysql2	208707584	3426448	13454592
218341	1348673406124	mysql2	208773120	7094328	13454592
218341	1348673406582	mysql2	208773120	6625216	13454592
212766	1348673407052	mysql2	225443840	10116728	21843200
216920	1348673407513	mysql2	225644544	5529000	21843200
217865	1348673407972	mysql2	225779712	9176600	21843200
217865	1348673408431	mysql2	225779712	4562160	21843200
217865	1348673408891	mysql2	225845248	8192744	21843200
217391	1348673409351	mysql2	226050048	3582504	21843200
218341	1348673409809	mysql2	226050048	7220592	21843200
217865	1348673410268	mysql2	226258944	10865264	21843200
217865	1348673410727	mysql2	226258944	6264696	21843200
218341	1348673411185	mysql2	226258944	9916936	21843200
218341	1348673411643	mysql2	226258944	5330096	21843200
218341	1348673412101	mysql2	226324480	8959168	21843200
217865	1348673412560	mysql2	226390016	4359920	21843200
213675	1348673413028	mysql2	237449216	8016680	21843200
213675	1348673413496	mysql2	245739520	3417584	21843200
218341	1348673413954	mysql2	245874688	7062168	21843200
216450	1348673414416	mysql2	246075392	10710544	21843200
218341	1348673414874	mysql2	246075392	6115840	21843200
217865	1348673415333	mysql2	246075392	9751600	21843200
217865	1348673415792	mysql2	246075392	5149472	21843200
218341	1348673416250	mysql2	246214656	8788120	21843200
218341	1348673416708	mysql2	246345728	4188128	21843200
218341	1348673417166	mysql2	246345728	7841680	21843200
218341	1348673417624	mysql2	246480896	3236128	21843200
218341	1348673418082	mysql2	246480896	6895616	21843200
217391	1348673418542	mysql2	246480896	10547864	21843200
218818	1348673418999	mysql2	246480896	5921696	21843200
218818	1348673419457	mysql2	246480896	9562848	21843200
219298	1348673419914	mysql2	246480896	4960352	21843200
217391	1348673420374	mysql2	246480896	8606664	21843200
218818	1348673420831	mysql2	246480896	3992768	21843200
217865	1348673421290	mysql2	246480896	7638448	21843200
218818	1348673421747	mysql2	246480896	11287808	21843200
218341	1348673422205	mysql2	246616064	6679536	21843200
218341	1348673422663	mysql2	246616064	10329240	21843200
216920	1348673423124	mysql2	246824960	5727968	21843200
218341	1348673423582	mysql2	246824960	9373480	21843200
218341	1348673424040	mysql2	246829056	4758184	21843200
218818	1348673424497	mysql2	246829056	8409832	21843200
198807	1348673425000	mysql2	273350656	3623696	38620416
201613	1348673425496	mysql2	273350656	15503248	38620416
200803	1348673425994	mysql2	273350656	10881776	38620416
200000	1348673426494	mysql2	273350656	6269120	38620416
201613	1348673426990	mysql2	273350656	18149136	38620416
200401	1348673427489	mysql2	273354752	13546480	38620416
200803	1348673427987	mysql2	273354752	8945376	38620416
200401	1348673428486	mysql2	273354752	4342120	38620416
202020	1348673428981	mysql2	273354752	16235280	38620416
200803	1348673429479	mysql2	273358848	11629544	38620416
200803	1348673429977	mysql2	273358848	7019048	38620416
202020	1348673430472	mysql2	273358848	18920304	38620416
200803	1348673430970	mysql2	273362944	14311168	38620416
200803	1348673431468	mysql2	273362944	9696536	38620416
202020	1348673431964	mysql2	273367040	5080352	38620416
202020	1348673432459	mysql2	273367040	16972600	38620416
202020	1348673432954	mysql2	273367040	12347192	38620416
201207	1348673433451	mysql2	273367040	7734880	38620416
200401	1348673433950	mysql2	273367040	3115616	38620416
201613	1348673434446	mysql2	273371136	15007264	38620416
201207	1348673434943	mysql2	273371136	10395880	38620416
200401	1348673435442	mysql2	273371136	5790672	38620416
202429	1348673435936	mysql2	273371136	17663688	38620416
201613	1348673436432	mysql2	273371136	13059472	38620416
201207	1348673436929	mysql2	273379328	8445744	38620416
201207	1348673437427	mysql2	273379328	3821704	38620416
201613	1348673437923	mysql2	273379328	15690872	38620416
201207	1348673438420	mysql2	273379328	11073544	38620416
200401	1348673438919	mysql2	273379328	6473672	38620416
202020	1348673439414	mysql2	273383424	18359136	38620416
201613	1348673439910	mysql2	274468864	13767288	38620416
199601	1348673440411	mysql2	274472960	9157184	38620416
199203	1348673440913	mysql2	274513920	4569576	38620416
200803	1348673441411	mysql2	274513920	16457808	38620416
199203	1348673441913	mysql2	274518016	11838992	38620416
200000	1348673442413	mysql2	274518016	7217824	38620416
